Giới tính;Độ tuổi;Chiều cao;Cân nặng;Tạng người của bạn;Giữ/tăng/giảm;kg tăng thêm;Bữa sáng của bạn gồm (6h30- 10h30);Bữa sáng của bạn gồm (6h30- 10h30);Bữa trưa của bạn gồm (11h - 14h);Bữa chiều của bạn gồm (14h30 - 18h);Bữa tối của bạn gồm (18h30 - 21h30)
1;17;172;65;1;1;0;Bánh mì trứng 1 ổ;mì 1,trứng 1 ;cơm 1, thịt heo áp chảo 1,canh rau cải 1;bánh mì 1, patê 0,25;cơm 1, đùi gà chiên 1, trứng luộc 1, canh rau tập tàng 1
0;17;150;46;2;2;2;Hủ tiếu khô 1 hộp;Hủ tiếu khô em gái 11V (1 hộp);Cơm mẹ nấu (1 chén), canh rau (1 chén), sườn (chắc 5 7 cục), cam (1 quả);1 sandwich cá ngừ bắp ABC;Mì quảng 1 tô, trà sữa 1/2ly
0;17;153;54;2;1;0;Bánh mì cá hộp 1 ổ;bánh mì kẹp cá hộp 1;cơm trắng 1 thịt kho tiêu 1canh rau cải 1 bầu xào trứng;;bánh canh cua 1
0;17;163;53;3;1;0;Cháo 1 tô;Cháo 1 ;Cơm 1 Cá chiên 1 bánh 1;;
0;15;162;42;3;3;-5;Sữa milo 1 hộp;Sữa milo 1/mì tôm 1;Cơm, thịt, canh rau;;Như bữa trưa hoặc nhiều hơn một chút
0;15;162;42;3;3;-5;Mì tôm 1 tô;Sữa milo 1/mì tôm 1;Cơm, thịt, canh rau;;Như bữa trưa hoặc nhiều hơn một chút
0;16;160;50;1;2;2.5;Cơm chiên 1 hộp;cơm chiên 1;cơm trắng 1 cá lóc chiên 1 canh chua 1 kem hộp 1;bánh mì 1 cam 1;không
1;17;167;49;3;1;0;Bánh mì sữa 1 ổ;bánh mì , sữa;cơm nấu tại gia;thường ko có hoặc hộp sữa;thường cơm tại gia
1;17;168;64;1;1;0;60Gr mass mutant 1 ly + Sữa tươi 0,5 ly;1 ly mass mutant 60gr + 1/2 ly sữa tươi Vinamilk;Cơm canh theo gia đình;Cơm canh theo gia đình;Cơm canh theo gia đình
1;17;175;65;1;1;0;Xôi 1 hộp + Sữa tươi 1 bịch;xôi mặn 1 , sữa vinamilk bịch 1;cơm trắng 1, gà xào xả ớt 1, canh cải ngọt 1, cá ngừ kho 1;;cơm trắng 1, trứng gà Mỹ 1, đùi gà chiên 1
1;17;170;60;2;1;0;Bánh mì thịt 1 ổ;mì thịt heo 1 ;cơm trắng 1 bông cải xào thập cẩm 1 gà kho gừng 1;sữa cô gái hà lan 1;cơm trắng 1 bông cải xào thập cẩm 1 gà kho gừng 1
1;17;167;67;2;1;0;Cơm tấm 1 hộp;cơm tấm bì 1;thịt kho 1, canh chua 1, rau muống xào 1, cơm 2;chè trôi nước 1;ăn như bữa trưa hỏi nhiều vcl
0;16;157;50;2;1;0;Nui chiên 1 hộp;nui chiên 1;bún thịt nướng 1;không có;phở 1 sữa milo nhỏ 1
1;17;165;59;2;1;0;Mì xào giòn 1 đĩa;Mì xào giòn 1 đĩa;Cơm 2 chén, canh chua 1 chén, cá kho 1 con;;
0;17;162;50;1;1;0;Bánh mì chả lụa 1 ổ;1 bánh mì chả lụa;1 cá chim chiên, 1 bông cải xào thập cẩm, 1 tô canh rau ngót, 1 chén cơm;1 trà sữa, 1 bột chiên;10 tép rang, 2 chén canh mướp, 1 chén cơm
0;17;159;50;2;3;-8;Bánh mì 1 ổ;Bánh mì 1 ổ vừa;Cơm tấm sườn 1;Ly sữa 1;Bún bò 1
0;18;166;52;1;1;0;Bột ngũ cốc 2 ly;Bột ngũ cốc 2;Canh rau mồng tơi 1, cá thu kho 1 ;Không có;Canh bầu 1, sườn ram 5
0;20;160;46;2;2;2;Mì tôm 1 tô + Sữa tươi 1 hộp;Mì gói 1, sữa 1;tô cơm 1;trà sữa 1;tô cơm 1
0;17;153;47;3;1;0;Bún thịt nướng 1 hộp;Bún thịt nướng 1;Cơm 1, canh 1, thịt/cá/trứng, rau;;
0;15;159;53;1;1;0;Bánh bột lộc 1 hộp + sinh tốt bưởi 1 ly;bánh bột lọc 1, bưởi 1;cơm trắng 2, cá lóc kho 1, canh cải ngọt 1, trứng gà ta 2;;
0;17;175;54;3;2;9;Phở 1 tô;1 tô phở;1 tô cơm và 1 ly sữa;;1 tô cơm
1;21;183;83;1;1;0;Phở tái xương 1 tô + Chén tái 1 chén;Phở tái xương + chén tái;Cơm bò hoặc gà ăn no thì nghỉ;1 muỗng whey nitro tech + bò gà cơm ...;2-3 trứng vịt lộn và nước rau má hoặc sinh tố 
0;17;160;50;1;1;0;Bánh mì chà bông 1 ổ;Bánh mì kẹp chà bông 1;Cơm trắng 1, canh rau ngót 1, đậu hũ sốt cà 1, sườn nướng 1;Chuối cau 1;Cơm trắng 1, gà rô ti 1, dưa hấu 1
0;16;158;51;1;1;0;Bún bò 1 tô;Bún bò 1;Cơm trắng 3/4, sườn ram 1, đậu hũ 1, canh bí đao 1;Mít sấy 1, cơm trắng 1, đùi gà chiên 2, trứng gà 1 (tùy ngày), canh rau dền 1 (không có rauuuu  :D nên em k ghi đc. Bình thường em ăn rau muống xào nữa);Hột vịt lộn 2
0;17;163;53;1;2;5;Xôi 1 hộp;Xôi vị 1/bánh mì 1/mì xào giòn 1;Cơm trắng 2 + canh 2 + nấm rơm 2-3/ thịt kho trứng 1-2;Mì quảng 1/bánh mì 1;Nấm rơm kho 2-3
0;17;163;53;1;2;5;Bánh mì 1 ổ;Xôi vị 1/bánh mì 1/mì xào giòn 1;Cơm trắng 2 + canh 2 + nấm rơm 2-3/ thịt kho trứng 1-2;Mì quảng 1/bánh mì 1;Nấm rơm kho 2-3
0;17;163;53;1;2;5;Mì xào giòn 1 đĩa;Xôi vị 1/bánh mì 1/mì xào giòn 1;Cơm trắng 2 + canh 2 + nấm rơm 2-3/ thịt kho trứng 1-2;Mì quảng 1/bánh mì 1;Nấm rơm kho 2-3
1;15;169;60;1;1;0;Bánh giò 2 cái;bánh giò 2;cơm trắng 2, heo xào giá hẹ 1, canh cải ngọt 1;cam 1;cơm tấm sườn 1, thạch dừa 1
0;18;163;54;1;1;0;Cơm dương châu 1 hộp;Cơm dương châu 1;Cơm 1 canh khoai mỡ 1 gà xào xả ớt 1;Không ăn;Cơm 1 canh khoai mỡ 1 gà xào xả ớt 1
0;17;157;49;2;1;0;Sữa tươi 1 ly + Nui xào gà 1 đĩa;1 ly sữa, 1 đĩa nui xào gà;1 chén cơm, thịt xào, canh rau;1 ly sữa;1 ly sữa, trái cây
0;18;167;65;2;1;0;Bánh mì sandwich 4 lát + Bơ đậu phộng 1 dv + Mứt dâu 1dv;4 lát bánh mì sandwich, bơ đậu phộng và mứt dâu;Bún bò 1;Không có;Cơm nắm 2
0;15;150;50;2;1;0;Mì xào giòn 1 đĩa + Sữa tươi 1 hộp;mì xào 1, sữa hộp cô gái Hà Lan 1;canh chua 1, sườn nướng 3, cá đối chiên 1, cớm trắng 1;bún bò 1, trà sữa 1;sữa 1
0;24;158;42;3;1;0;Bún riêu 1 tô;Bún riêu 1;Cơm tấm sườn 1, canh mướp 1, thạch dừa 1;Sữa đậu nành tribeco 1, bánh snack 1;Cơm trắng 2, canh cải 1, sườn ram 1, lê 1
0;19;154;55;2;1;0;Khoai lang 1 củ + Sữa đậu nành 1 ly;Củ khoai lang 1, sữa đậu nành 1;Cơm 1, rau 2;Bánh tiêu 1;Com 1, rau 2
1;18;172;78;1;1;0;Không ăn;H đó ngủ;Có khi 2 gói mì, có khi cơm dĩa.;Tương tự trưa hoặc k ăn;Tùy bữa có hẹn đi đâu 
0;17;148;48;2;1;0;Sữa milo 1 hộp;Sữa hộp Milo 1 hoặc cơm chiên dương châu 1 hoặc cơm tấm sườn 1 hoặc không ăn gì;Cơm trắng 1 và sườn nướng 1 + trứng gà Mỹ 1 hoặc thịt kho trắng 1 hoặc thịt gà luộc 1;Thỉnh thoảng xúc xích 1;Trà sữa 1 + xôi thập cẩm 1 hoặc bánh Takoyaki 1 hoặc khoai tây lắc 1 hoặc cơm tấm sườn 1
0;17;148;48;2;1;0;Cơm dương châu 1 hộp;Sữa hộp Milo 1 hoặc cơm chiên dương châu 1 hoặc cơm tấm sườn 1 hoặc không ăn gì;Cơm trắng 1 và sườn nướng 1 + trứng gà Mỹ 1 hoặc thịt kho trắng 1 hoặc thịt gà luộc 1;Thỉnh thoảng xúc xích 1;Trà sữa 1 + xôi thập cẩm 1 hoặc bánh Takoyaki 1 hoặc khoai tây lắc 1 hoặc cơm tấm sườn 1
0;17;148;48;2;1;0;Cơm tấm sườn 1 hộp;Sữa hộp Milo 1 hoặc cơm chiên dương châu 1 hoặc cơm tấm sườn 1 hoặc không ăn gì;Cơm trắng 1 và sườn nướng 1 + trứng gà Mỹ 1 hoặc thịt kho trắng 1 hoặc thịt gà luộc 1;Thỉnh thoảng xúc xích 1;Trà sữa 1 + xôi thập cẩm 1 hoặc bánh Takoyaki 1 hoặc khoai tây lắc 1 hoặc cơm tấm sườn 1
1;17;170;74;2;2;5;Cơm tấm sườn 1 hộp;Cơm tấm sườn 1;Cơm trắng 2 cá chim 2-3 thịt kho ;một trái chuối;Giống bữa trưa =))))
0;17;167;44;3;1;0;Cơm tấm 1 hộp;Cơm tấm 1;Cơm trắng 1.5, thịt kho 0.25 dĩa, rau 0.5 dĩa, canh 1 chén;Bánh quy/ snack 1 gói;Cơm trắng 1.5, thịt kho 0.25 dĩa, rau 0.5 dĩa, canh 1 chén
0;16;161;50;3;3;4;Xôi 1 hộp + Sữa tươi 1 bịch;Xôi 1 sữa 1;Cơm 1/2 chén, thịt 1, rau 1, canh 1, bánh 1;Sữa 1;Cơm 1/2, rau 1 cá 1 canh 1
1;17;170;61;3;1;0;Nui chiên 1 hộp;nui chiên 1;cơm gà 1;sữa 1;cơm bò xào 1
0;17;160;57;2;2;3;Nui xào 1 đĩa;Nui xào 1, mì xào 1;Thịt chiên 1, cơm 1/2, canh 2;Chuối 1;Canh 2, cơm 1/3
0;17;160;57;2;2;3;Mì xào 1 đĩa;Nui xào 1, mì xào 1;Thịt chiên 1, cơm 1/2, canh 2;Chuối 1;Canh 2, cơm 1/3
1;18;170;63;3;1;0;Bún 1 tô;1 tô bún;Canh 1,cơm 3, cá 2, bò 1;Giống trưa;Hỏi nhiều phết
0;18;158;53;2;1;0;Cơm dương châu 1 hộp + Sữa Milo 1 hộp;cơm chiên dương châu 1, Milo 1;"Cơm 1,5; bông cải xào thập cẩm 1; sườn ram 6; rau sống 0,1 kg; canh cải ngọt 2; thanh long 1/6 quả.";1 bánh mì.;"Cơm 1; đậu que xào thịt bò 1; thịt luộc 10; canh mồng tơi 2."
0;20;155;48;1;1;0;Không ăn;Ko ăn;Cơm trắng 1, sườn ram 2;Ko ăn;Cơm trắng 1, sườn 2
1;17;175;55;3;1;0;Bánh mì 1 ổ;Bánh mì 1;Cá đối chiên 1;Thịt bò xào nấm1 Thịt heo quay1;Canh rau ngót 1 bánh snack2
0;17;155;53;1;1;0;Bánh cuốn 2 đĩa;2 dĩa Bánh cuốn (+ bánh mì ngọt/snack);Kem trước cổng 1 bát cơm + thịt heo (luộc/kho/ram mặn) + 1 bát canh bầu thịt bằm;Trà sữa/cacao sữa/soda + bánh mì chấm/bánh canh/mì gõ;Không có
0;17;160;60;1;1;0;Nui xào 1 đĩa;Nui xào 1;Cơm 1+0.5 canh 1 thịt 100gr cá 50gr;Sữa chua 1;Cơm 1+0.5 thịt 100gr cá 50gr
0;15;160;37.5;3;1;0;Bún bò 1 tô;1 tô bún bò ;2 chén cơm;0;Cơm
1;21;160;60;1;1;0;Bánh mì 1 ổ;Bánh mì;Phở;Cơm cá;Không Ăn
0;17;155;52;2;1;0;Bánh mì 1 ổ + Sữa Milo 1 hộp;Bánh mì 1, milo 1;Cơm mẹ nấu;;
1;17;175;58;3;1;0;Sữa tươi 1 ly + Cơm 1 Chén + thịt kho trứng 1 dv;Sữa tươi 1 ly + (cơm 1 chén, thịt kho trứng 1)/(mì thịt heo 1)/(mì thịt bò 1)/(cơm tấm sườn 1).;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1;Hộp sữa chua 1/ Chuối 1 / Bánh flan 1;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1
1;17;175;58;3;1;0;Sữa tươi 1 ly + Bánh mì thịt heo 1 ổ ;Sữa tươi 1 ly + (cơm 1 chén, thịt kho trứng 1)/(mì thịt heo 1)/(mì thịt bò 1)/(cơm tấm sườn 1).;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1;Hộp sữa chua 1/ Chuối 1 / Bánh flan 1;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1
1;17;175;58;3;1;0;Sữa tươi 1 ly + Mì thịt bò 1 dv;Sữa tươi 1 ly + (cơm 1 chén, thịt kho trứng 1)/(mì thịt heo 1)/(mì thịt bò 1)/(cơm tấm sườn 1).;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1;Hộp sữa chua 1/ Chuối 1 / Bánh flan 1;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1
1;17;175;58;3;1;0;Sữa tươi 1 ly + Cơm tấm sườn 1 hộp;Sữa tươi 1 ly + (cơm 1 chén, thịt kho trứng 1)/(mì thịt heo 1)/(mì thịt bò 1)/(cơm tấm sườn 1).;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1;Hộp sữa chua 1/ Chuối 1 / Bánh flan 1;Cơm 2 chén + (Thịt heo kho trứng 1/ Cá chiên 1/ Cá kho 1/ Thịt bò xào rau củ 1...)  + Canh rau củ 1
1;17;171;60;1;1;0;Phở 1 tô;phở 1;canh 1, cơm 3 chén,thịt 1 dĩa;không;bún thịt nướng 1
0;27;145;42;1;1;0;Bánh canh cá dầm 1 tô;Bánh canh cá dầm 1;Cơm trắng 2, cá 1, canh rau cải 1;Cơm trắng 2, canh cà chua 1, cá kho 1;Sữa 1
0;18;158;51;2;1;0;Sữa tươi 1 bịch;1 bịch sữa;1 gói mỳ tôm;Không ăn;1 gói mỳ
1;17;176;72;3;1;0;Cơm dương châu 1 hộp;Cơm chiên dương châu,1;Hủ tiếu bò kho,1;;Cơm tấm,1
